params,20newsGroup,Classic3,CSTR,Irish_Economic_Sentiment,Multi_Domain_Sentiment,NSF,Opinosis-Parsed,re8,Review_Polarity,Reviews,SyskillWelbert-Parsed
{'knn__n_neighbors': 3},0.8070532084143539,0.9460183227625087,0.8528428093645485,0.5680722891566266,0.640875,0.7660585328772329,0.4466470497134892,0.9103466249674224,0.6365,0.9051363971491768,0.8562874251497006
{'knn__n_neighbors': 5},0.796623652112427,0.9477096546863988,0.8695652173913043,0.5698795180722892,0.654375,0.7842075256556442,0.5008517887563884,0.920380505603336,0.595,0.9154583435733596,0.8802395209580839
{'knn__n_neighbors': 7},0.7876966590065406,0.9512332628611698,0.8662207357859532,0.558433734939759,0.66525,0.7899087799315849,0.5264054514480409,0.9279384936148032,0.5755,0.91717866797739,0.8922155688622755
{'knn__n_neighbors': 9},0.7808909315891815,0.950246652572234,0.8528428093645485,0.5608433734939761,0.6715,0.7930444697833523,0.545144804088586,0.9335418295543392,0.562,0.9235684443352176,0.8892215568862275
{'knn__n_neighbors': 11},0.7764716280714159,0.9494009866102888,0.8528428093645485,0.5397590361445783,0.67725,0.7908589889775751,0.5536626916524702,0.9364086525931716,0.5505,0.9247972474809536,0.8862275449101796
{'knn__n_neighbors': 13},0.7739084320311119,0.9496828752642706,0.8461538461538461,0.5379518072289157,0.680125,0.7939946788293425,0.5658974756078674,0.9364086525931716,0.5445,0.9255345293683952,0.8832335329341318
{'knn__n_neighbors': 15},0.7706381474279653,0.9494009866102888,0.842809364548495,0.5337349397590362,0.685,0.7961801596351197,0.5677559238036239,0.9369298931456868,0.54,0.925288768739248,0.8772455089820359
{'knn__n_neighbors': 17},0.7663072299805551,0.9472868217054264,0.8193979933110368,0.5246987951807229,0.688625,0.7948498669707336,0.5761189406845284,0.9381026843888456,0.528,0.9255345293683952,0.8772455089820359
{'knn__n_neighbors': 19},0.7654233692770019,0.9474277660324172,0.8193979933110368,0.5174698795180723,0.6905,0.7958950969213227,0.5874245005420474,0.9374511336982018,0.528,0.9243057262226592,0.8652694610778443
{'knn__n_neighbors': 21},0.7622414707442107,0.9464411557434812,0.8093645484949833,0.5114457831325301,0.692625,0.7947548460661346,0.5866501471271488,0.9365389627313006,0.526,0.9275006144015728,0.8712574850299402
{'knn__n_neighbors': 25},0.7565847622414708,0.945031712473573,0.7859531772575251,0.5042168674698795,0.7055,0.7928544279741543,0.5908316555676011,0.9382329945269742,0.5295,0.926517571884984,0.8592814371257484
{'knn__n_neighbors': 29},0.751281598020152,0.9416490486257928,0.7625418060200669,0.4933734939759036,0.704875,0.79038388445458,0.5964070001548707,0.9369298931456868,0.526,0.9262718112558368,0.8502994011976048
{'knn__n_neighbors': 35},0.7497790348241117,0.9409443269908386,0.7658862876254181,0.4819277108433735,0.7155,0.7871531736982136,0.6010531206442621,0.9391451654938754,0.522,0.9267633325141312,0.844311377245509
{'knn__n_neighbors': 41},0.7464203641506099,0.9369978858350952,0.7257525083612041,0.4734939759036145,0.718625,0.7849676928924363,0.603221310205978,0.9356267917643992,0.524,0.9250430081101008,0.8293413173652695
{'knn__n_neighbors': 49},0.7407636556478701,0.9315010570824525,0.7290969899665551,0.4716867469879518,0.72325,0.7795515013302927,0.6030664395229983,0.9361480323169142,0.532,0.9238142049643648,0.8353293413173652
{'knn__n_neighbors': 57},0.7325437511048258,0.9292459478505991,0.6956521739130435,0.4632530120481928,0.726125,0.7766058532877232,0.6070930772804708,0.9334115194162106,0.5405,0.9235684443352176,0.8233532934131736
{'knn__n_neighbors': 73},0.7211419480289907,0.9230443974630022,0.6354515050167224,0.4542168674698795,0.7305,0.7714747244393767,0.605389499767694,0.9293719051342194,0.5475,0.924059965593512,0.811377245508982
{'knn__n_neighbors': 89},0.7078840374756938,0.9168428470754052,0.6220735785953178,0.4487951807228915,0.736375,0.7636830102622577,0.6039956636208765,0.9274172530622884,0.5495,0.9233226837060704,0.811377245508982
