params,20newsGroup,Classic3,CSTR,Irish_Economic_Sentiment,Multi_Domain_Sentiment,NSF,Opinosis-Parsed,re8,Review_Polarity,Reviews,SyskillWelbert-Parsed
{'clf__n_estimators': 10},0.6866713805904189,0.8762508809020437,0.7090301003344481,0.541566265060241,0.73,0.6967882934245534,0.5676010531206442,0.9027886369559552,0.6855,0.8994839026787909,0.8383233532934131
{'clf__n_estimators': 20},0.7739084320311119,0.9100775193798448,0.7090301003344481,0.5921686746987952,0.7659999999999999,0.7309007981755986,0.5875793712250271,0.9185561636695336,0.7135,0.9302039813221922,0.8922155688622755
{'clf__n_estimators': 30},0.7931765953685699,0.9190979563072588,0.7458193979933109,0.6,0.789,0.7380273660205245,0.5894378194207837,0.9262444618191296,0.7365,0.9341361513885476,0.8742514970059879
{'clf__n_estimators': 40},0.8148311826056214,0.9252995066948556,0.7625418060200669,0.6234939759036144,0.800375,0.7453439756746484,0.5923803623973982,0.928590044305447,0.7585,0.9380683214549028,0.9011976047904192
{'clf__n_estimators': 50},0.8190737139826764,0.9269908386187456,0.7692307692307693,0.6319277108433735,0.805625,0.7457240592930444,0.6018274740591606,0.9281991138910608,0.7615,0.9412632096338168,0.907185628742515
{'clf__n_estimators': 60},0.8284426374403394,0.9303735024665256,0.7692307692307693,0.6337349397590362,0.809375,0.7505701254275942,0.6033761808889577,0.9297628355486056,0.7665,0.9471614647333496,0.8982035928143712
{'clf__n_estimators': 70},0.8353367509280537,0.931782945736434,0.7625418060200669,0.6319277108433735,0.816375,0.7529456480425694,0.6026018274740592,0.9298931456867344,0.779,0.9432292946669943,0.9191616766467066
{'clf__n_estimators': 80},0.8347180484355665,0.9320648343904158,0.7458193979933109,0.6445783132530121,0.81875,0.7523755226149753,0.6078674306953694,0.9317174876205369,0.784,0.9447038584418777,0.9191616766467066
{'clf__n_estimators': 90},0.8372812444758706,0.9336152219873152,0.7591973244147158,0.6367469879518072,0.821875,0.7527556062333713,0.6029115688400186,0.9313265572061508,0.7859999999999999,0.943966576554436,0.9131736526946108
{'clf__n_estimators': 100},0.8408166872900831,0.9336152219873152,0.7625418060200669,0.6379518072289156,0.823875,0.7535157734701634,0.6008982499612824,0.9327599687255668,0.782,0.9437208159252888,0.9131736526946108
